@relation unbalanced-weka.filters.supervised.instance.Resample-B0.0-S1-Z33.3-no-replacement

@attribute WBN_GC_L_0.25 numeric
@attribute WBN_GC_H_0.25 numeric
@attribute WBN_GC_L_0.50 numeric
@attribute WBN_GC_H_0.50 numeric
@attribute WBN_GC_L_0.75 numeric
@attribute WBN_GC_H_0.75 numeric
@attribute WBN_GC_L_1.00 numeric
@attribute WBN_GC_H_1.00 numeric
@attribute WBN_EN_L_0.25 numeric
@attribute WBN_EN_H_0.25 numeric
@attribute WBN_EN_L_0.50 numeric
@attribute WBN_EN_H_0.50 numeric
@attribute WBN_EN_L_0.75 numeric
@attribute WBN_EN_H_0.75 numeric
@attribute WBN_EN_L_1.00 numeric
@attribute WBN_EN_H_1.00 numeric
@attribute WBN_LP_L_0.25 numeric
@attribute WBN_LP_H_0.25 numeric
@attribute WBN_LP_L_0.50 numeric
@attribute WBN_LP_H_0.50 numeric
@attribute WBN_LP_L_0.75 numeric
@attribute WBN_LP_H_0.75 numeric
@attribute WBN_LP_L_1.00 numeric
@attribute WBN_LP_H_1.00 numeric
@attribute XLogP numeric
@attribute PSA numeric
@attribute NumRot numeric
@attribute NumHBA numeric
@attribute NumHBD numeric
@attribute MW numeric
@attribute BBB numeric
@attribute BadGroup numeric
@attribute Outcome {Active,Inactive}

@data
-2.3987,1.6878,-2.5268,2.3744,-2.7657,3.2023,-3.4197,4.081,-0.7885,1.4674,-1.5931,2.2771,-2.4073,3.1608,-3.2278,4.069,-0.8799,1.1381,-1.6394,2.0459,-2.4447,2.9696,-3.2668,3.8984,4.922,76.12,3,4,1,415.493,0,1,Active
-2.2628,1.9814,-2.3829,2.3933,-2.629,3.0251,-3.0576,3.8005,-0.7119,1.2422,-1.4406,1.9496,-2.1779,2.7701,-2.92,3.6162,-0.877,1.001,-1.557,1.8405,-2.2626,2.6945,-2.9879,3.5526,5.652,120.94,8,6,2,435.586,0,0,Active
-2.3568,2.2433,-2.4932,2.6606,-3.0328,3.2686,-3.7603,4.1221,-0.8529,1.3219,-1.7353,2.1273,-2.6291,3.0224,-3.5282,3.9423,-0.8717,1.1528,-1.6981,2.075,-2.5847,3.0075,-3.4836,3.9434,5.299,76.74,8,4,1,344.407,0,0,Active
-2.3988,1.8497,-2.5161,2.4296,-2.7328,3.2189,-3.205,4.0478,-0.7986,1.5214,-1.6148,2.1952,-2.4374,2.9437,-3.2633,3.7644,-0.9117,1.432,-1.6907,2.0251,-2.5004,2.8079,-3.3192,3.658,6.136,101.93,7,9,2,512.603,0,2,Inactive
-2.3864,1.5981,-2.527,2.3547,-2.8639,3.2444,-3.6685,4.1658,-0.867,1.3407,-1.7648,2.1638,-2.6741,3.0745,-3.5886,4.0092,-0.9579,1.1726,-1.7748,2.0999,-2.6654,3.0422,-3.574,3.9898,3.139,72.8,13,6,1,431.577,0,0,Inactive
-2.3102,2.3603,-2.451,2.7463,-2.743,3.2783,-3.266,3.9329,-0.7778,2.4019,-1.5665,2.6738,-2.3597,3.0898,-3.1552,3.7084,-0.9028,1.1276,-1.5965,1.9632,-2.327,2.8113,-3.0844,3.665,5.255,87.66,6,6,3,474.41,0,1,Inactive
-1.5147,2.0952,-2.0311,2.5016,-2.7078,3.1191,-3.4542,3.9682,-0.771,1.3697,-1.5451,2.2087,-2.3243,3.1041,-3.1177,4.0153,-0.8714,1.3246,-1.5484,2.1592,-2.2768,3.0565,-3.0734,3.9692,3.665,150.22,4,6,1,518.616,0,1,Inactive
-1.7029,1.4367,-2.2245,2.2734,-2.9265,3.1902,-3.7221,4.1364,-0.7748,1.5287,-1.5763,2.4086,-2.4155,3.3438,-3.2703,4.3021,-1.0838,1.136,-1.9281,2.063,-2.7944,3.0257,-3.6698,3.9987,5.643,106.52,9,5,0,461.605,0,0,Inactive
-1.4991,1.5477,-1.8891,2.0712,-2.6915,2.8724,-3.5299,3.7508,-0.7802,1.5362,-1.5815,2.3697,-2.399,3.2303,-3.2296,4.1049,-1.0875,1.0877,-1.9179,1.9309,-2.7637,2.8019,-3.6172,3.6859,2.785,103.96,9,7,2,443.569,0,0,Inactive
-2.3987,1.8659,-2.5267,2.3297,-2.7637,2.9946,-3.2068,3.7464,-0.7765,1.2611,-1.5612,1.9317,-2.3493,2.6972,-3.1395,3.4981,-0.9767,1.0597,-1.6686,1.8492,-2.4274,2.6558,-3.1994,3.4711,3.575,76.66,10,6,2,360.454,0,2,Inactive
-2.3916,1.2953,-2.5177,2.0761,-2.7508,2.9574,-3.3421,3.8581,-0.7707,1.3029,-1.5688,2.0983,-2.3844,2.9813,-3.2094,3.8854,-0.9301,1.109,-1.676,1.9981,-2.4799,2.9069,-3.3014,3.8212,4.482,75.28,3,2,1,345.855,0,0,Inactive
-1.8027,1.4023,-1.9475,1.945,-2.7104,2.8119,-3.56,3.7003,-0.8059,1.5357,-1.6269,2.368,-2.4606,3.2275,-3.3048,4.1011,-1.0866,1.1332,-1.9173,1.9845,-2.7651,2.8535,-3.6219,3.7339,2.141,96.12,9,7,2,451.633,0,0,Inactive
-1.6353,1.428,-1.9197,2.0496,-2.4612,2.8537,-3.1754,3.684,-0.769,1.5211,-1.5595,2.1932,-2.3591,2.93,-3.1635,3.7218,-0.8527,1.4318,-1.577,2.02,-2.367,2.7793,-3.1704,3.5978,4.455,57.69,3,7,0,371.437,1,1,Inactive
-2.4011,2.4906,-2.5331,2.9375,-2.7905,3.6125,-3.2497,4.3825,-0.7828,2.4014,-1.5794,2.6748,-2.3817,3.137,-3.1873,3.8691,-1.0363,1.0085,-1.7842,1.8172,-2.5727,2.6512,-3.3711,3.4976,1.583,97.11,7,9,1,399.329,0,1,Inactive
-1.4862,1.4328,-1.8648,2.0834,-2.4363,2.8964,-3.1528,3.7369,-0.7793,1.5211,-1.564,2.1943,-2.3603,2.9377,-3.1631,3.7428,-0.8629,1.4317,-1.5872,2.0261,-2.3756,2.8141,-3.1777,3.6532,4.645,66.48,5,7,1,403.438,1,1,Inactive
-1.4839,1.5123,-1.8693,2.0601,-2.4663,2.7409,-3.1946,3.4904,-0.7723,1.2594,-1.5514,1.9406,-2.3335,2.7028,-3.1175,3.4951,-1.0187,1.0709,-1.6635,1.8619,-2.3708,2.6665,-3.104,3.4779,3.689,78.51,7,6,2,425.573,0,0,Inactive
-2.3988,1.8513,-2.527,2.317,-2.766,3.0126,-3.2432,3.809,-0.7907,1.2367,-1.5942,1.937,-2.403,2.7558,-3.2145,3.6038,-0.9478,1.0628,-1.7069,1.8662,-2.5025,2.6982,-3.3071,3.5452,1.53,100.16,9,8,1,443.496,0,1,Inactive
-1.564,1.6117,-2.1076,2.3229,-2.8529,3.1808,-3.6852,4.0836,-0.826,1.3755,-1.7002,2.2157,-2.5939,3.1242,-3.4962,4.0525,-0.995,1.163,-1.8181,2.0714,-2.6988,3.0007,-3.5966,3.9379,4.657,118.39,11,5,2,546.737,0,0,Inactive
-2.3865,1.681,-2.5272,2.3959,-2.93,3.2878,-3.7163,4.2358,-0.8538,1.3683,-1.7267,2.2505,-2.612,3.2119,-3.5048,4.1931,-0.9591,1.3598,-1.7644,2.2961,-2.6365,3.2751,-3.5272,4.2633,4.789,74.49,9,5,1,461.562,0,0,Inactive
-2.3824,1.8669,-2.5055,2.435,-2.7489,3.1992,-3.1928,4.0007,-0.7879,1.2628,-1.592,1.9442,-2.4012,2.7326,-3.2126,3.5584,-0.9783,0.9912,-1.683,1.7898,-2.4648,2.6206,-3.2643,3.4616,1.839,106.12,9,8,3,378.425,0,1,Inactive
